MultiClass,Accuracy,F1
2.279366639305365,0.11032750195590556,0.16610040606917822
2.2372938283163823,0.19350158396285702,0.23645151096866376
13855.18695891957,0.19089477869409638,0.23463055691611298
674482.1089407329,0.2205812566532853,0.2593183742206683
674482.1614744321,0.24348459002937065,0.28069892178092465
674482.0564070336,0.25624446895561054,0.28985965466064434
674481.951339635,0.25559517244032887,0.2895472213748817
734005.2593210122,0.26035828342033374,0.2944928802791787
734005.3118547115,0.2657354204876297,0.29932371764461607
734005.2593210122,0.272629185958522,0.3043580221167114
734005.3118547115,0.2747967140786723,0.3065654156624971
734004.4187818236,0.2788255588759635,0.3107192536617623
734004.4713155228,0.2808471956803345,0.3123692209499894
734004.313714425,0.28426682399415154,0.31419718457989465
734002.3699675512,0.28579307160538164,0.3160409707382906
734002.2649001526,0.2911012710179687,0.32043161145465726
734000.7414228732,0.2911878438866729,0.320368592203566
734000.7939565725,0.29515576703561675,0.32356384670025945
734000.7939565725,0.3025898113352743,0.32925740058303127
734000.6363554746,0.30743308237889416,0.33343543030758716
733999.5856814889,0.31069239056548115,0.3363712551922242
733999.5331477895,0.3153897702933217,0.33992807540511316
733999.4806140902,0.32549474791263194,0.3475826138049071
733998.7451423001,0.3275885287742564,0.34886734831120403
733998.6400749015,0.3311155715733176,0.3525452451990499
733998.377406405,0.3334514358270595,0.3551093855695959
733997.1691313214,0.33526946606984825,0.3564786338327289
733996.8539291257,0.33640934217445395,0.3573476595818364
733996.6437943286,0.33825943644268874,0.3592268473894988
733996.2760584335,0.34816080750041684,0.3686467252171113
733993.7544408676,0.3502449691544075,0.37060906192135534
733993.5443060703,0.35271389911375034,0.3728644690012883
733992.4410983853,0.35920526106529516,0.37716185465244983
733991.6530928959,0.36121407225948776,0.3794841562732622
733991.0226885044,0.36461446215803717,0.38267132468599935
733990.5498852108,0.36548981005271325,0.3831345549718936
733990.1821493157,0.36816074337236593,0.38579896719102735
733989.13147533,0.3751795585424977,0.3927253497420694
733989.0264079313,0.37730700663084044,0.3942381776173201
733988.0282676448,0.38480998858520693,0.40118247952982755
733986.8199925611,0.3919490438507612,0.40904006038615415
733986.5573240647,0.39479793251163925,0.41187806330802457
733985.8743859739,0.3964796906462825,0.4135939615345327
733984.9287793867,0.4009478125921841,0.4184202385926349
733984.7186445895,0.4007329836216958,0.41838384145655877
733984.6135771909,0.4019209557644705,0.41919914211372433
733984.3509086944,0.4021967063833062,0.41954341234121734
733984.1407738973,0.4019417973810104,0.4195654246977451
733983.8255717016,0.402041195859893,0.4198788640067628
733983.6154369044,0.40175903243596817,0.4199090436125256
733983.3527684079,0.40149290102476626,0.4197995578961853
733983.1951673101,0.40125242083392115,0.41985459274004056
733982.9324988136,0.40088208134001974,0.4198020213066491
733982.5647629186,0.40194340058228273,0.42077508431914196
733982.1444933242,0.40203638625607613,0.42099614441135613
733981.9868922264,0.402745001218433,0.42167130746156156
733981.5140889328,0.40269049237517474,0.42171810495132356
733981.1463530378,0.40290371814439074,0.42203617368991037
733980.5684823456,0.40298067180546115,0.42218392929345716
733979.9380779541,0.40296463979273817,0.42219171954480006
733977.3639266888,0.4063890777103721,0.42546497498475144
733976.4183201016,0.40930530082468675,0.42786788112812263
733975.7879157101,0.40936782567430646,0.42788609248657294
733974.9999102207,0.40903435980966796,0.4276200873609791
733974.5796406264,0.4095185265939027,0.42810495682062505
733974.0017699342,0.40960349626133463,0.42821198658537996
733973.6340340392,0.41015179109646144,0.428764174808851
733973.1086970463,0.4198447459887904,0.43887391965103867
733972.8985622491,0.425321281534969,0.4430070386589424
733972.7409611512,0.4293741743513448,0.44787405502782757
733972.530826354,0.43275372263335427,0.4519672876213685
733972.4782926547,0.43539740153137785,0.455074648695344
733971.795354564,0.43956572483935924,0.4594508632915144
733970.8497479768,0.44215168849158,0.46209449840690703
733969.6940065924,0.4442262309379369,0.46413034153145316
733969.4838717952,0.4480755171927304,0.4672308345130074
733969.0110685016,0.45234644538213903,0.4718155662652425
733968.1179956136,0.45268792725313906,0.47227005654970894
733967.0673216279,0.4576578511972707,0.4773921398974903
733966.8571868307,0.45812598596878246,0.47789898726824115
733966.384383537,0.4584145621977966,0.4782352366373664
733965.7539791455,0.45870634482935524,0.4785598608992608
733965.3337095513,0.4594790878426041,0.4791063835772374
733964.0729007683,0.4605676615064962,0.4803205317119045
733963.8102322718,0.46076806166553375,0.48048404753456253
733963.2323615795,0.46103579627800795,0.48081151984260784
733962.7595582859,0.46144942220626145,0.48118456057788267
733962.4968897896,0.46446023419564186,0.48403316617304737
733961.9715527967,0.4651928971770832,0.4847157974531882
733961.3936821044,0.4654029165437546,0.4848644719506249
