iter	Passed	Remaining
225	10344	21696
226	10391	21651
227	10434	21600
228	10473	21542
229	10516	21490
230	10558	21436
231	10607	21398
232	10646	21337
233	10691	21292
234	10732	21237
235	10772	21180
236	10813	21125
237	10860	21082
238	10901	21027
239	10955	20998
240	11008	20966
241	11048	20909
242	11098	20871
243	11137	20814
244	11175	20755
245	11216	20700
246	11257	20645
247	11304	20604
248	11357	20571
249	11408	20535
250	11446	20476
251	11487	20422
252	11530	20371
253	11568	20314
254	11611	20262
255	11660	20223
256	11709	20183
257	11749	20128
258	11796	20086
259	11837	20032
260	11877	19977
261	11920	19927
262	11968	19887
263	12018	19848
264	12071	19815
265	12123	19781
266	12163	19725
267	12208	19679
268	12250	19627
269	12292	19577
270	12333	19524
271	12374	19472
272	12416	19420
273	12460	19373
274	12500	19318
275	12538	19262
276	12580	19211
277	12630	19173
278	12678	19130
279	12716	19074
280	12758	19023
281	12798	18971
282	12836	18914
283	12876	18861
284	12920	18813
285	12963	18765
286	13003	18712
287	13043	18659
288	13081	18604
289	13128	18561
290	13167	18506
291	13207	18453
292	13249	18404
293	13289	18352
294	13330	18301
295	13374	18254
296	13419	18209
297	13457	18153
298	13502	18108
299	13544	18059
300	13587	18011
301	13631	17964
302	13673	17915
303	13726	17880
304	13781	17847
305	13824	17800
306	13871	17757
307	13915	17710
308	13963	17669
309	14011	17627
310	14054	17579
311	14109	17546
312	14164	17513
313	14220	17481
314	14268	17439
315	14316	17397
316	14362	17353
317	14411	17312
318	14455	17265
319	14515	17237
320	14561	17192
321	14614	17156
322	14655	17105
323	14696	17055
324	14738	17005
325	14782	16959
326	14825	16911
327	14866	16860
328	14919	16824
329	14959	16772
330	15011	16734
331	15062	16695
332	15103	16645
333	15148	16599
334	15188	16548
335	15229	16498
336	15270	16448
337	15320	16408
338	15360	16357
339	15401	16307
340	15443	16258
341	15487	16211
342	15537	16172
343	15579	16123
344	15628	16081
345	15669	16031
346	15722	15993
347	15763	15944
348	15812	15903
349	15852	15852
350	15893	15802
351	15934	15753
352	15974	15702
353	16025	15663
354	16069	15616
355	16109	15566
356	16161	15527
357	16201	15477
358	16246	15431
359	16300	15394
360	16349	15352
361	16392	15306
362	16439	15262
363	16488	15220
364	16534	15175
365	16581	15132
366	16621	15081
367	16663	15032
368	16705	14984
369	16744	14934
370	16794	14893
371	16839	14847
372	16878	14796
373	16927	14754
374	16978	14714
375	17020	14666
376	17059	14616
377	17108	14574
378	17157	14532
379	17208	14491
380	17253	14446
381	17293	14396
382	17331	14345
383	17380	14302
384	17428	14259
385	17467	14209
386	17517	14167
387	17560	14120
388	17608	14077
389	17646	14026
390	17689	13979
391	17728	13929
392	17767	13879
393	17813	13834
394	17854	13786
395	17904	13744
396	17942	13693
397	17992	13652
398	18030	13601
399	18070	13552
400	18115	13507
401	18154	13457
402	18193	13408
403	18235	13360
404	18282	13316
405	18325	13269
406	18372	13226
407	18425	13186
408	18477	13146
409	18516	13097
410	18565	13054
411	18605	13005
412	18650	12960
413	18694	12914
414	18739	12869
415	18780	12821
416	18824	12775
417	18864	12726
418	18910	12682
419	18960	12640
420	19009	12597
421	19050	12549
422	19098	12506
423	19142	12460
424	19182	12412
425	19225	12365
426	19275	12323
427	19327	12282
428	19366	12233
429	19411	12188
430	19451	12140
431	19492	12092
432	19540	12049
433	19581	12001
434	19621	11953
435	19673	11912
436	19714	11864
437	19754	11816
438	19805	11774
439	19846	11727
440	19894	11684
441	19945	11642
442	19985	11594
443	20022	11544
444	20064	11497
445	20104	11449
446	20145	11402
447	20190	11357
448	20229	11308
449	20268	11260
450	20306	11211
451	20351	11166
452	20398	11122
453	20441	11075
454	20483	11029
455	20522	10981
456	20563	10934
457	20609	10889
458	20651	10843
459	20706	10803
460	20753	10759
461	20793	10711
462	20831	10663
463	20877	10618
464	20922	10573
465	20962	10526
466	21008	10481
467	21060	10440
468	21099	10392
469	21140	10345
470	21180	10298
471	21222	10251
472	21263	10204
473	21302	10157
474	21343	10110
475	21385	10063
476	21426	10017
477	21470	9971
478	21510	9924
479	21550	9877
480	21593	9831
481	21639	9787
482	21682	9741
483	21723	9694
484	21763	9647
485	21806	9602
486	21847	9555
487	21887	9508
488	21929	9462
489	21970	9416
490	22017	9372
491	22063	9327
492	22119	9287
493	22175	9247
494	22233	9207
495	22278	9163
496	22325	9118
497	22382	9078
498	22438	9038
499	22497	8999
500	22543	8954
501	22588	8909
502	22629	8862
503	22680	8820
504	22722	8774
505	22763	8727
506	22806	8681
507	22849	8636
508	22907	8595
509	22952	8550
510	22998	8506
511	23040	8460
512	23107	8423
513	23162	8381
514	23215	8339
515	23259	8294
516	23303	8248
517	23343	8201
518	23391	8157
519	23435	8112
520	23474	8065
521	23521	8020
522	23562	7974
523	23612	7930
524	23658	7886
525	23698	7839
526	23740	7793
527	23793	7750
528	23833	7704
529	23874	7657
530	23926	7615
531	23969	7569
532	24011	7523
533	24051	7476
534	24092	7430
535	24144	7387
536	24185	7341
537	24226	7295
538	24268	7249
539	24320	7205
540	24370	7162
541	24422	7119
542	24460	7072
543	24500	7025
544	24543	6980
545	24596	6937
546	24642	6892
547	24687	6847
548	24730	6802
549	24771	6755
550	24814	6710
551	24865	6666
552	24909	6621
553	24950	6575
554	24998	6531
555	25048	6487
556	25087	6440
557	25127	6394
558	25179	6351
559	25217	6304
560	25266	6260
561	25310	6215
562	25365	6172
563	25408	6126
564	25456	6082
565	25500	6037
566	25542	5991
567	25591	5947
568	25632	5901
569	25683	5857
570	25729	5812
571	25772	5767
572	25820	5722
573	25868	5678
574	25907	5632
575	25950	5586
576	25999	5542
577	26042	5496
578	26092	5452
579	26143	5409
580	26185	5363
581	26232	5318
582	26284	5274
583	26327	5229
584	26376	5185
585	26424	5140
586	26468	5095
587	26509	5049
588	26550	5003
589	26600	4959
590	26677	4920
591	26722	4875
592	26775	4831
593	26823	4786
594	26863	4740
595	26907	4695
596	26960	4651
597	27002	4605
598	27054	4561
599	27096	4516
600	27138	4470
601	27190	4426
602	27235	4381
603	27275	4335
604	27315	4289
605	27358	4243
606	27404	4198
607	27455	4154
608	27496	4108
609	27537	4062
610	27578	4017
611	27628	3972
612	27672	3927
613	27714	3881
614	27755	3836
615	27794	3790
616	27833	3744
617	27883	3699
618	27926	3654
619	27976	3609
620	28029	3565
621	28077	3520
622	28117	3475
623	28166	3430
624	28209	3385
625	28250	3339
626	28299	3294
627	28339	3249
628	28392	3204
629	28444	3160
630	28497	3116
631	28537	3070
632	28578	3024
633	28619	2979
634	28671	2934
635	28721	2890
636	28768	2845
637	28812	2799
638	28858	2754
639	28910	2710
640	28953	2665
641	28993	2619
642	29037	2574
643	29089	2529
644	29130	2484
645	29175	2438
646	29216	2393
647	29268	2348
648	29308	2303
649	29359	2258
650	29404	2213
651	29447	2167
652	29495	2122
653	29538	2077
654	29587	2032
655	29638	1987
656	29690	1943
657	29733	1897
658	29773	1852
659	29815	1806
660	29858	1761
661	29899	1716
662	29961	1672
663	30008	1626
664	30071	1582
665	30120	1537
666	30168	1492
667	30219	1447
668	30269	1402
669	30331	1358
670	30380	1313
671	30435	1268
672	30489	1223
673	30540	1178
674	30581	1132
675	30637	1087
676	30689	1042
677	30737	997
678	30791	952
679	30841	907
680	30887	861
681	30949	816
682	31002	771
683	31046	726
684	31099	681
685	31142	635
686	31194	590
687	31245	544
688	31297	499
689	31336	454
690	31374	408
691	31413	363
692	31457	317
693	31501	272
694	31541	226
695	31581	181
696	31622	136
697	31663	90
698	31710	45
699	31754	0
