accuracy,gmean
0.5346917279491336,0.3179688262775641
0.5634852689614926,0.3287880761279216
0.578509693772034,0.33438591482276936
0.6054795904134823,0.3439266521780618
0.6403733220467783,0.3560893761711242
0.6712790841217088,0.3670263071946943
0.699089059576658,0.37759236206867675
0.7273182728364364,0.3883644207454241
0.7540965866186988,0.39867968125112446
0.7787177896307982,0.40991237448528844
0.8025550259638863,0.42362532699081656
0.8238207233335096,0.4376125284143458
0.8463729917867867,0.4520544609315282
0.8655152456669408,0.4646908827886761
0.884126839075208,0.47675086507719705
0.9006454498670142,0.4891263123336619
0.9125460319903295,0.50168106537615
0.9263367914440217,0.516007155648876
0.9362205431333978,0.5285025649872256
0.9431576061601504,0.5392300087193451
0.9485620063134167,0.5476793482245883
0.9541772277719796,0.5552774624211921
0.9582389447071027,0.5619624889514705
0.9620152913582504,0.5684084722967128
0.9652200958395257,0.5746581659614105
0.9683776058074456,0.5806847504270028
0.9714982420869867,0.5869204212631394
0.9743623657517182,0.5929411728474239
0.9769683735977979,0.5983015042744785
0.979641716005265,0.6044141523521064
0.9817250793986703,0.6098308018967745
0.9837996251709417,0.6156758522510133
0.9859599423487898,0.6219558671175888
0.979794020370308,0.6214983640420855
0.9857803835184232,0.6280180177548403
0.9894188546391108,0.6335447789433754
0.9900449057396301,0.6356164500827242
0.9905875902403363,0.637403962892845
0.990968351152944,0.6386676154691531
0.9914164466269393,0.640367164946609
0.9917980091414683,0.6422180087221634
0.9920729586004672,0.6442075825604356
0.9923767657286321,0.6459235229524011
0.9925835790243223,0.6487356542119286
0.9926942000894587,0.6515169054340784
0.9929747607619066,0.6550844850719484
0.9929627367330874,0.6569128583486971
0.9932737582785438,0.6609563533232807
0.6725921080687646,0.4931181245904669
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
0.5015695365618652,0.3000000036671749
