MultiClass,Accuracy,F1
2.236604451769293,0.1970414523720966,0.2481496192753162
2.1784112515871694,0.2021300132103785,0.2505853689937792
2.126365125883364,0.21401614744321462,0.2707603636767224
2.0835410146981492,0.225236953148046,0.278825135002845
2.0379461709140814,0.24436955713168054,0.2985551616073122
1.9947519206351243,0.2588753222434557,0.30687295512863927
1.9533241977580833,0.28920468391283716,0.32542055280211807
1.9158189071938847,0.2987068578537624,0.33399213600651434
1.8766398745014043,0.3211677076786928,0.34932192834155484
1.8492036899280484,0.3311219843784068,0.3584395532484943
1.8183783378650489,0.35274756634046867,0.377877610329862
1.7916828322794958,0.358596044581821,0.3813234557774712
1.75933043100463,0.3674104451769293,0.3895738049230171
1.7334701932819454,0.37208057048314075,0.39426322172177924
1.7118616453334017,0.37792103271813154,0.40036589427445624
1.6888138234426502,0.3952740832895125,0.4173822424084223
1.663865306243507,0.3997325860277803,0.42093562558492786
1.6416949364491016,0.4040403878464518,0.42491280313990404
1.6208566265118187,0.4163561800202645,0.43632351529456903
1.588294807070759,0.4355448960484295,0.45501730358343123
1.5690575942041067,0.43593447395759855,0.45580453819566585
1.5510107582821377,0.4421276404724955,0.46216787336922294
1.532087672664777,0.4488242121868948,0.46679072836559937
1.5171864178391412,0.4560514435224256,0.4725237470584326
1.498946796964178,0.46256685349305493,0.47788010169217576
1.478522112955149,0.4772297323295156,0.49215410012147287
1.454257962299119,0.4932136490143519,0.5094356123219675
1.43357917088843,0.50188857109877,0.5184667891599823
1.4156649998717439,0.5076087932383383,0.523368019340786
1.3943812003809206,0.5203734817683952,0.534974222018067
1.3823716196501175,0.5246315843476254,0.5378820841361238
1.364575985327502,0.5316295579012171,0.5440278431215827
1.351933340494299,0.536750182764945,0.5483134353175517
1.3309969346791675,0.545365786402288,0.553058176420286
1.320331838615347,0.548806256332645,0.5559636449921459
1.305977676223884,0.546379009606382,0.5552127647420597
1.293231725108697,0.5535437160922931,0.5618513645881911
1.282116430087599,0.5520367068963306,0.5620986456566549
1.2709954236619683,0.5559998204414575,0.5656255684059915
1.2544982821698367,0.5625168336133591,0.5691090331268983
1.244241601630135,0.5652037989457348,0.5717090545455877
1.2248978760789544,0.5805352127127448,0.5885370334971981
1.2154999102207287,0.5840718747194398,0.591861776364244
1.201974803287204,0.5905007118213649,0.5981226428431078
1.1892537017917377,0.5943884749066937,0.6003642464745649
1.1802913056791802,0.5937824648257641,0.6005773857691094
1.1707883301376187,0.5975708294322102,0.6039709069001865
1.1630640062075954,0.600823724813708,0.6067400458174694
1.1565601192461106,0.6029976657389475,0.6086775493825651
1.1482125508214804,0.6062457515166284,0.6112615197198304
1.1386039643961061,0.6085495517449243,0.612618061984472
